Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of Mentions,Flag
12/06/2020,02/01/2020,12/05/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,49.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,53.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,56.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,43.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,254.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,18.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,57.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,118.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,173.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,255.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,85+,223.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,849.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,17.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,49.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,99.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,170.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,85+,145.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,484.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrest,I46,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrest,I46,25-34,19.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrest,I46,35-44,21.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrest,I46,45-54,53.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrest,I46,55-64,94.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrest,I46,65-74,148.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrest,I46,75-84,175.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrest,I46,85+,110.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrest,I46,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrest,I46,All Ages,627.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,12.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,35.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,63.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,103.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,103.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,323.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Heart failure,I50,0-24,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Heart failure,I50,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Heart failure,I50,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Heart failure,I50,45-54,15.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Heart failure,I50,55-64,44.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Heart failure,I50,65-74,50.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Heart failure,I50,75-84,87.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Heart failure,I50,85+,116.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Heart failure,I50,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Heart failure,I50,All Ages,322.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,33.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,51.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,64.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,54.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,216.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,15.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,28.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,73.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,88.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,108.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,73.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,399.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Sepsis,Sepsis,A40-A41,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Sepsis,Sepsis,A40-A41,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Sepsis,Sepsis,A40-A41,35-44,18.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Sepsis,Sepsis,A40-A41,45-54,40.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Sepsis,Sepsis,A40-A41,55-64,97.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Sepsis,Sepsis,A40-A41,65-74,139.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Sepsis,Sepsis,A40-A41,75-84,86.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Sepsis,Sepsis,A40-A41,85+,41.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Sepsis,Sepsis,A40-A41,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Sepsis,Sepsis,A40-A41,All Ages,432.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,34.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,53.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,67.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,40.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,208.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Diabetes,Diabetes,E10-E14,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Diabetes,Diabetes,E10-E14,25-34,10.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Diabetes,Diabetes,E10-E14,35-44,26.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Diabetes,Diabetes,E10-E14,45-54,87.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Diabetes,Diabetes,E10-E14,55-64,186.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Diabetes,Diabetes,E10-E14,65-74,216.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Diabetes,Diabetes,E10-E14,75-84,220.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Diabetes,Diabetes,E10-E14,85+,128.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Diabetes,Diabetes,E10-E14,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Diabetes,Diabetes,E10-E14,All Ages,879.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Obesity,Obesity,E65-E68,0-24,11.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Obesity,Obesity,E65-E68,25-34,22.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Obesity,Obesity,E65-E68,35-44,50.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Obesity,Obesity,E65-E68,45-54,58.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Obesity,Obesity,E65-E68,55-64,79.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Obesity,Obesity,E65-E68,65-74,60.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Obesity,Obesity,E65-E68,75-84,28.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Obesity,Obesity,E65-E68,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Obesity,Obesity,E65-E68,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Obesity,Obesity,E65-E68,All Ages,310.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Alzheimer disease,Alzheimer disease,G30,0-24,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Alzheimer disease,Alzheimer disease,G30,25-34,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Alzheimer disease,Alzheimer disease,G30,35-44,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Alzheimer disease,Alzheimer disease,G30,45-54,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Alzheimer disease,Alzheimer disease,G30,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Alzheimer disease,Alzheimer disease,G30,65-74,22.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Alzheimer disease,Alzheimer disease,G30,75-84,55.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Alzheimer disease,Alzheimer disease,G30,85+,147.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Alzheimer disease,Alzheimer disease,G30,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Alzheimer disease,Alzheimer disease,G30,All Ages,225.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,37.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,143.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,227.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,415.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Renal failure,Renal failure,N17-N19,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Renal failure,Renal failure,N17-N19,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,Renal failure,Renal failure,N17-N19,35-44,17.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Renal failure,Renal failure,N17-N19,45-54,39.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Renal failure,Renal failure,N17-N19,55-64,82.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Renal failure,Renal failure,N17-N19,65-74,147.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Renal failure,Renal failure,N17-N19,75-84,130.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Renal failure,Renal failure,N17-N19,85+,85.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Renal failure,Renal failure,N17-N19,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,Renal failure,Renal failure,N17-N19,All Ages,508.0,
12/06/2020,02/01/2020,12/05/2020,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,24.0,
12/06/2020,02/01/2020,12/05/2020,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,17.0,
12/06/2020,02/01/2020,12/05/2020,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,29.0,
12/06/2020,02/01/2020,12/05/2020,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,28.0,
12/06/2020,02/01/2020,12/05/2020,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,38.0,
12/06/2020,02/01/2020,12/05/2020,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,57.0,
12/06/2020,02/01/2020,12/05/2020,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,51.0,
12/06/2020,02/01/2020,12/05/2020,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,250.0,
12/06/2020,02/01/2020,12/05/2020,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,28.0,
12/06/2020,02/01/2020,12/05/2020,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,56.0,
12/06/2020,02/01/2020,12/05/2020,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,111.0,
12/06/2020,02/01/2020,12/05/2020,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,217.0,
12/06/2020,02/01/2020,12/05/2020,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,536.0,
12/06/2020,02/01/2020,12/05/2020,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,727.0,
12/06/2020,02/01/2020,12/05/2020,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,800.0,
12/06/2020,02/01/2020,12/05/2020,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,608.0,
12/06/2020,02/01/2020,12/05/2020,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AZ,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,3083.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,13.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,56.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,140.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,234.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,309.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,308.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,1068.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,0.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,0.0,
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/06/2020,02/01/2020,12/05/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,25.0,
